epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5433.67,1.91623,1.64145,1.46275,0.55001,0.54363,0.505,0.21208,1.88149,1.85406,1.5627,0.000663366,0.000663366,0.000663366
2,8316.15,1.81815,1.2747,1.39176,0.75235,0.60911,0.70778,0.37565,1.66552,1.41274,1.4192,0.00131687,0.00131687,0.00131687
3,11218.8,1.80429,1.23738,1.37474,0.7311,0.60556,0.68433,0.34843,1.7691,1.46708,1.51688,0.00195717,0.00195717,0.00195717
4,14108.5,1.74848,1.20924,1.34476,0.77978,0.65404,0.75704,0.40409,1.61431,1.07433,1.39571,0.0019406,0.0019406,0.0019406
5,16992.1,1.71364,1.15721,1.32421,0.82089,0.66749,0.77034,0.41298,1.57147,1.04042,1.3527,0.0019208,0.0019208,0.0019208
6,19818.5,1.69353,1.12535,1.31105,0.77894,0.64216,0.72837,0.38046,1.62657,1.36144,1.40767,0.001901,0.001901,0.001901
7,22617.8,1.67173,1.10806,1.3029,0.83417,0.67509,0.78147,0.44543,1.48026,0.94445,1.31311,0.0018812,0.0018812,0.0018812
8,25406.4,1.63407,1.07653,1.28608,0.83346,0.68958,0.79458,0.45061,1.48531,0.93977,1.3086,0.0018614,0.0018614,0.0018614
9,28237.2,1.62952,1.06455,1.26954,0.79695,0.68525,0.78454,0.45116,1.46569,0.92857,1.29137,0.0018416,0.0018416,0.0018416
10,31083.6,1.58456,1.0396,1.26206,0.81893,0.71873,0.81512,0.46676,1.42605,0.88186,1.27595,0.0018218,0.0018218,0.0018218
11,33906.4,1.57053,1.02629,1.24816,0.80237,0.71444,0.80188,0.46171,1.42295,0.88514,1.27413,0.001802,0.001802,0.001802
12,36661.5,1.57457,1.0182,1.2407,0.80473,0.71012,0.80122,0.47555,1.38183,0.86757,1.25064,0.0017822,0.0017822,0.0017822
13,39328.2,1.55219,1.00064,1.23036,0.82248,0.70564,0.80612,0.46802,1.42364,0.87446,1.27381,0.0017624,0.0017624,0.0017624
14,41979.4,1.56697,1.00306,1.24275,0.82305,0.69792,0.79517,0.4566,1.44349,0.88842,1.28673,0.0017426,0.0017426,0.0017426
15,44569.6,1.55888,0.99824,1.22955,0.82636,0.72309,0.81291,0.48441,1.38018,0.8314,1.24849,0.0017228,0.0017228,0.0017228
16,47214.6,1.52702,0.97938,1.22215,0.82927,0.69946,0.79964,0.47344,1.37906,0.87374,1.24487,0.001703,0.001703,0.001703
17,50813.2,1.53378,0.97799,1.21747,0.82232,0.71707,0.8094,0.47252,1.39532,0.86916,1.24602,0.0016832,0.0016832,0.0016832
